SURVEY_DATE	PRODUCT_ID	PRODUCT_NAME	PRICE	VAT	EXCISE	NET	CHANGE
23.01.2006	5	LPG	671.44	111.91	156.62	402.91	1.71
23.01.2006	6	Residual fuel oil	699.98	63.63	166.84	469.51	8.18
23.01.2006	8	Heavy fuel oil	376.44	0	31.39	345.05	14.72
30.01.2006	1	Euro-Super 95	1260.32	210.05	564	486.27	0.24
30.01.2006	2	Automotive gas oil	1157.35	192.89	413	551.46	0.39
30.01.2006	3	Heating gas oil	1110.95	185.16	403.21	522.58	-5.37
30.01.2006	5	LPG	675.35	112.56	156.62	406.17	3.91
30.01.2006	6	Residual fuel oil	702.32	63.85	166.84	471.63	2.34
30.01.2006	8	Heavy fuel oil	370.48	0	31.39	339.09	-5.96
6.02.2006	1	Euro-Super 95	1258.18	209.7	564	484.48	-2.14
6.02.2006	2	Automotive gas oil	1157.27	192.88	413	551.39	-0.08
6.02.2006	3	Heating gas oil	1112.36	185.39	403.21	523.76	1.41
6.02.2006	5	LPG	675.85	112.64	156.62	406.59	0.5
6.02.2006	6	Residual fuel oil	707.54	64.32	166.84	476.38	5.22
6.02.2006	8	Heavy fuel oil	380.1	0	31.39	348.71	9.62
13.02.2006	1	Euro-Super 95	1257.92	209.65	564	484.27	-0.26
13.02.2006	2	Automotive gas oil	1157.27	192.88	413	551.39	0
13.02.2006	3	Heating gas oil	1102.37	183.73	403.21	515.43	-9.99
13.02.2006	5	LPG	675.85	112.64	156.62	406.59	0
13.02.2006	6	Residual fuel oil	708.79	64.44	166.84	477.51	1.25
13.02.2006	8	Heavy fuel oil	383.96	0	31.39	352.57	3.86
20.02.2006	1	Euro-Super 95	1228.36	204.73	564	459.63	-29.56
20.02.2006	2	Automotive gas oil	1137.2	189.53	413	534.67	-20.07
20.02.2006	3	Heating gas oil	1100.1	183.35	403.21	513.54	-2.27
20.02.2006	5	LPG	675.85	112.64	156.62	406.59	0
20.02.2006	6	Residual fuel oil	706.96	64.27	166.84	475.85	-1.83
20.02.2006	8	Heavy fuel oil	380.09	0	31.39	348.7	-3.87
27.02.2006	1	Euro-Super 95	1226.36	204.39	564	457.97	-2
27.02.2006	2	Automotive gas oil	1137.98	189.66	413	535.32	0.78
27.02.2006	3	Heating gas oil	1103.23	183.87	403.21	516.15	3.13
27.02.2006	5	LPG	675.85	112.64	156.62	406.59	0
27.02.2006	6	Residual fuel oil	712.66	64.79	166.84	481.03	5.7
27.02.2006	8	Heavy fuel oil	386.8	0	31.39	355.41	6.71
6.03.2006	1	Euro-Super 95	1256.01	209.34	564	482.67	29.65
6.03.2006	2	Automotive gas oil	1167.02	194.5	413	559.52	29.04
6.03.2006	3	Heating gas oil	1123.43	187.24	403.21	532.98	20.2
6.03.2006	5	LPG	681.24	113.54	156.62	411.08	5.39
6.03.2006	6	Residual fuel oil	718.1	65.28	166.84	485.98	5.44
6.03.2006	8	Heavy fuel oil	375.52	0	31.39	344.13	-11.28
13.03.2006	1	Euro-Super 95	1256.01	209.34	564	482.67	0
13.03.2006	2	Automotive gas oil	1167.15	194.52	413	559.63	0.13
13.03.2006	3	Heating gas oil	1111.32	185.22	403.21	522.89	-12.11
13.03.2006	5	LPG	681.24	113.54	156.62	411.08	0
13.03.2006	6	Residual fuel oil	707.63	64.33	166.84	476.46	-10.47
13.03.2006	8	Heavy fuel oil	365.2	0	31.39	333.81	-10.32
20.03.2006	1	Euro-Super 95	1261.81	210.3	564	487.51	5.8
20.03.2006	2	Automotive gas oil	1169.1	194.85	413	561.25	1.95
20.03.2006	3	Heating gas oil	1114.32	185.72	403.21	525.39	3
20.03.2006	5	LPG	681.24	113.54	156.62	411.08	0
20.03.2006	6	Residual fuel oil	714.85	64.99	166.84	483.02	7.22
20.03.2006	8	Heavy fuel oil	370.67	0	31.39	339.28	5.47
27.03.2006	1	Euro-Super 95	1261.48	210.25	564	487.23	-0.33
27.03.2006	2	Automotive gas oil	1169.46	194.91	413	561.55	0.36
27.03.2006	3	Heating gas oil	1116.45	186.08	403.21	527.16	2.13
27.03.2006	5	LPG	681.24	113.54	156.62	411.08	0
27.03.2006	6	Residual fuel oil	707.04	64.28	166.84	475.92	-7.81
27.03.2006	8	Heavy fuel oil	362.82	0	31.39	331.43	-7.85
3.04.2006	1	Euro-Super 95	1286.65	214.44	564	508.21	25.17
3.04.2006	2	Automotive gas oil	1169.51	194.92	413	561.59	0.05
3.04.2006	3	Heating gas oil	1122.74	187.12	403.21	532.41	6.29
